,Content ID,Reaction_Type,Datetime,Content_Type,Category,Sentiment,Score
14639,7913b30d-19fd-4900-8a68-ce141192b3ec,super love,03-12-2020 17:51,audio,cooking,positive,75
14863,10683ab8-914b-43ae-ad2d-b2fd6a48dc33,super love,17-11-2020 06:19,audio,soccer,positive,75
14872,d624685f-99a7-4aee-902b-283f5cf85ada,super love,08-10-2020 03:26,photo,studying,positive,75
14871,5b71c62f-2c89-4d19-991f-65fedd0b52fd,super love,22-01-2021 09:44,video,education,positive,75
14870,9c8be342-6cff-4d80-bf94-fd0fd8ccd845,super love,05-06-2021 19:24,video,dogs,positive,75
14869,9c8be342-6cff-4d80-bf94-fd0fd8ccd845,super love,20-10-2020 05:01,video,dogs,positive,75
14868,9c8be342-6cff-4d80-bf94-fd0fd8ccd845,super love,29-07-2020 14:22,video,dogs,positive,75
14867,9c8be342-6cff-4d80-bf94-fd0fd8ccd845,super love,24-02-2021 19:45,video,dogs,positive,75
14866,9c8be342-6cff-4d80-bf94-fd0fd8ccd845,super love,20-10-2020 17:07,video,dogs,positive,75
14865,d0f8e229-c57e-460c-a08f-59672c606151,super love,12-07-2020 11:52,GIF,soccer,positive,75
14864,10683ab8-914b-43ae-ad2d-b2fd6a48dc33,super love,10-05-2021 04:24,audio,soccer,positive,75
14862,10683ab8-914b-43ae-ad2d-b2fd6a48dc33,super love,27-09-2020 14:28,audio,soccer,positive,75
14874,d624685f-99a7-4aee-902b-283f5cf85ada,super love,21-03-2021 15:39,photo,studying,positive,75
14861,c2fbcf27-369b-4385-925a-ca2eca1403c1,super love,11-12-2020 07:27,audio,culture,positive,75
14860,c2fbcf27-369b-4385-925a-ca2eca1403c1,super love,13-05-2021 00:39,audio,culture,positive,75
14859,c2fbcf27-369b-4385-925a-ca2eca1403c1,super love,13-10-2020 20:12,audio,culture,positive,75
14858,15dc9c91-11a7-45d6-ba68-107e6d4dcf7b,super love,16-11-2020 09:23,audio,travel,positive,75
14857,520450a4-c852-4a4e-9383-30657dd07533,super love,28-06-2020 19:04,photo,public speaking,positive,75
14856,520450a4-c852-4a4e-9383-30657dd07533,super love,16-06-2021 00:14,photo,public speaking,positive,75
14855,a881e5c8-4f16-4823-85a8-c595fe220385,super love,16-11-2020 16:19,video,soccer,positive,75
14854,efda0319-e547-484a-84b5-c5041a57502c,super love,01-01-2021 02:14,photo,dogs,positive,75
14853,efda0319-e547-484a-84b5-c5041a57502c,super love,10-12-2020 13:05,photo,dogs,positive,75
14873,d624685f-99a7-4aee-902b-283f5cf85ada,super love,22-02-2021 08:21,photo,studying,positive,75
14875,d624685f-99a7-4aee-902b-283f5cf85ada,super love,29-09-2020 14:39,photo,studying,positive,75
14851,5e813176-850f-4791-a750-4961429c2458,super love,14-07-2020 19:32,GIF,soccer,positive,75
14887,fd0a3090-6b89-4c4e-9192-1aa4db213a3e,super love,23-10-2020 23:44,GIF,cooking,positive,75
14896,cbf66fdd-cd86-4517-8081-181e45f13823,super love,04-06-2021 08:13,photo,science,positive,75
14895,d86a1ec9-a883-44f8-b1ad-2a182c741fe7,super love,10-03-2021 14:11,GIF,public speaking,positive,75
14894,2f5dd79a-8884-4086-ab6f-00b3bea9d366,super love,13-05-2021 05:09,photo,cooking,positive,75
14893,2f5dd79a-8884-4086-ab6f-00b3bea9d366,super love,29-07-2020 03:53,photo,cooking,positive,75
14892,2f5dd79a-8884-4086-ab6f-00b3bea9d366,super love,29-10-2020 03:10,photo,cooking,positive,75
14891,9a25d0c6-1134-41d2-abc4-e893c41363bc,super love,19-01-2021 20:56,video,science,positive,75
14890,fd0a3090-6b89-4c4e-9192-1aa4db213a3e,super love,23-04-2021 08:37,GIF,cooking,positive,75
14889,fd0a3090-6b89-4c4e-9192-1aa4db213a3e,super love,05-09-2020 20:18,GIF,cooking,positive,75
14888,fd0a3090-6b89-4c4e-9192-1aa4db213a3e,super love,05-07-2020 00:55,GIF,cooking,positive,75
14886,0c91753a-0bb4-4b77-a919-96c2f998ad91,super love,19-07-2020 09:45,GIF,fitness,positive,75
14876,d624685f-99a7-4aee-902b-283f5cf85ada,super love,19-06-2020 11:13,photo,studying,positive,75
14885,0c91753a-0bb4-4b77-a919-96c2f998ad91,super love,08-11-2020 08:13,GIF,fitness,positive,75
14884,0c91753a-0bb4-4b77-a919-96c2f998ad91,super love,12-05-2021 21:45,GIF,fitness,positive,75
14883,e1792fe6-28e0-49fc-8b01-0e027461d8b5,super love,05-06-2021 17:01,GIF,technology,positive,75
14882,e1792fe6-28e0-49fc-8b01-0e027461d8b5,super love,13-08-2020 23:06,GIF,technology,positive,75
14881,22cdf77b-00c8-41c3-ad59-333c3e751e2c,super love,08-12-2020 20:21,audio,fitness,positive,75
14880,84a81261-6334-4ba5-978d-26a45d28a44f,super love,13-05-2021 03:23,audio,animals,positive,75
14879,79dfc9a4-42c0-42a5-abe4-2b5d3b8a05ab,super love,26-10-2020 01:14,GIF,culture,positive,75
14878,79dfc9a4-42c0-42a5-abe4-2b5d3b8a05ab,super love,04-08-2020 10:41,GIF,culture,positive,75
14877,965a00aa-3037-4ea6-b6be-26f6fbee029e,super love,26-01-2021 16:23,audio,public speaking,positive,75
14852,efda0319-e547-484a-84b5-c5041a57502c,super love,20-04-2021 20:00,photo,dogs,positive,75
14850,140a5163-66d8-4a11-8d4e-a670483bb852,super love,02-04-2021 04:53,photo,science,positive,75
14611,6796d3e9-ee98-47cb-b057-90cfaf6ebcbb,super love,09-01-2021 12:54,audio,technology,positive,75
14815,70047f87-af62-4674-bf30-a03c9ee9db09,super love,12-05-2021 02:07,video,food,positive,75
14824,f9c0a47d-c96d-4457-a1be-aa7642ea38c1,super love,23-05-2021 03:02,photo,culture,positive,75
14823,2e866dc0-7c14-4e2a-9edb-9ccc1d1bd048,super love,09-12-2020 10:57,photo,culture,positive,75
14822,b62831cc-7447-465b-9c58-1fc659b17310,super love,03-02-2021 12:45,audio,animals,positive,75
14821,b62831cc-7447-465b-9c58-1fc659b17310,super love,01-11-2020 09:37,audio,animals,positive,75
14820,26a2a058-3806-42ef-b1e4-24c6b64f9bdb,super love,15-08-2020 17:46,audio,healthy eating,positive,75
14819,26a2a058-3806-42ef-b1e4-24c6b64f9bdb,super love,15-10-2020 16:55,audio,healthy eating,positive,75
14818,26a2a058-3806-42ef-b1e4-24c6b64f9bdb,super love,15-10-2020 08:55,audio,healthy eating,positive,75
14817,70047f87-af62-4674-bf30-a03c9ee9db09,super love,23-05-2021 18:11,video,food,positive,75
14816,70047f87-af62-4674-bf30-a03c9ee9db09,super love,03-03-2021 04:37,video,food,positive,75
14814,70047f87-af62-4674-bf30-a03c9ee9db09,super love,03-12-2020 07:56,video,food,positive,75
14826,b3c0379a-b71a-4f6f-9fde-ceb636739633,super love,24-04-2021 17:09,video,culture,positive,75
14813,b0cad7dc-6333-4160-8e7f-425182eb4e29,super love,01-01-2021 14:33,GIF,dogs,positive,75
14812,b0cad7dc-6333-4160-8e7f-425182eb4e29,super love,13-01-2021 02:16,GIF,dogs,positive,75
14811,b0cad7dc-6333-4160-8e7f-425182eb4e29,super love,09-06-2021 18:03,GIF,dogs,positive,75
14810,b0cad7dc-6333-4160-8e7f-425182eb4e29,super love,14-11-2020 13:58,GIF,dogs,positive,75
14809,e57d3bd7-da38-492d-a87d-3a643f61fd9c,super love,24-11-2020 05:31,audio,education,positive,75
14808,e57d3bd7-da38-492d-a87d-3a643f61fd9c,super love,26-03-2021 06:45,audio,education,positive,75
14807,e57d3bd7-da38-492d-a87d-3a643f61fd9c,super love,06-06-2021 09:45,audio,education,positive,75
14806,e57d3bd7-da38-492d-a87d-3a643f61fd9c,super love,07-06-2021 13:45,audio,education,positive,75
14805,2f246c65-25f0-4144-b3f1-a180865b1766,super love,20-08-2020 19:04,video,technology,positive,75
14825,f9c0a47d-c96d-4457-a1be-aa7642ea38c1,super love,11-09-2020 20:09,photo,culture,positive,75
14827,b3c0379a-b71a-4f6f-9fde-ceb636739633,super love,30-07-2020 02:31,video,culture,positive,75
14849,51577f6a-e29e-4ed2-93eb-e7bd4eda800a,super love,27-03-2021 14:37,photo,dogs,positive,75
14839,c2373565-f5f1-415f-9786-49ff558c7739,super love,20-09-2020 14:56,GIF,soccer,positive,75
14848,d539c60f-9967-44b0-a11e-26d5dfa43884,super love,14-03-2021 10:51,GIF,fitness,positive,75
14847,d539c60f-9967-44b0-a11e-26d5dfa43884,super love,11-12-2020 05:21,GIF,fitness,positive,75
14846,d539c60f-9967-44b0-a11e-26d5dfa43884,super love,20-01-2021 18:53,GIF,fitness,positive,75
14845,d539c60f-9967-44b0-a11e-26d5dfa43884,super love,14-04-2021 16:37,GIF,fitness,positive,75
14844,0c6e8e2a-7692-4490-b545-f76b0d06697a,super love,19-05-2021 01:21,photo,animals,positive,75
14843,0c6e8e2a-7692-4490-b545-f76b0d06697a,super love,26-12-2020 17:29,photo,animals,positive,75
14842,0c6e8e2a-7692-4490-b545-f76b0d06697a,super love,04-02-2021 22:08,photo,animals,positive,75
14841,0c6e8e2a-7692-4490-b545-f76b0d06697a,super love,26-04-2021 02:59,photo,animals,positive,75
14840,cc253c91-6df6-4de5-ab4e-6d1127620fd6,super love,02-04-2021 06:09,photo,science,positive,75
14838,baadf2d9-ab5b-458d-a3cf-37c39a69be50,super love,25-04-2021 02:30,GIF,technology,positive,75
14828,b3c0379a-b71a-4f6f-9fde-ceb636739633,super love,16-01-2021 11:07,video,culture,positive,75
14837,baadf2d9-ab5b-458d-a3cf-37c39a69be50,super love,30-07-2020 16:20,GIF,technology,positive,75
14836,baadf2d9-ab5b-458d-a3cf-37c39a69be50,super love,24-12-2020 21:50,GIF,technology,positive,75
14835,baadf2d9-ab5b-458d-a3cf-37c39a69be50,super love,01-08-2020 14:51,GIF,technology,positive,75
14834,80f6df7f-517f-4f0e-b6cb-004d61ad2bc8,super love,10-08-2020 08:33,photo,animals,positive,75
14833,87bf6cd4-f955-418b-aa84-9bfffcb4abeb,super love,20-02-2021 21:03,GIF,healthy eating,positive,75
14832,00d0cdf9-5919-4102-bf84-ebde253c3cd2,super love,24-09-2020 09:06,audio,healthy eating,positive,75
14831,00d0cdf9-5919-4102-bf84-ebde253c3cd2,super love,04-07-2020 02:42,audio,healthy eating,positive,75
14830,00d0cdf9-5919-4102-bf84-ebde253c3cd2,super love,17-04-2021 04:00,audio,healthy eating,positive,75
14829,00d0cdf9-5919-4102-bf84-ebde253c3cd2,super love,22-08-2020 21:49,audio,healthy eating,positive,75
14897,18cb1ce7-fb66-4a56-8042-e38c9593ade1,super love,29-05-2021 05:42,photo,animals,positive,75
14898,18cb1ce7-fb66-4a56-8042-e38c9593ade1,super love,24-10-2020 08:22,photo,animals,positive,75
14899,d0c1d7f4-7735-49a9-ab6b-2cdb2338a609,super love,19-05-2021 21:29,GIF,travel,positive,75
14958,e0cb0394-c5b2-447a-a9f4-88604a3ec283,super love,27-05-2021 06:44,audio,public speaking,positive,75
14967,79818849-98f9-4b6b-9be8-4ed4c1ad59a5,super love,09-04-2021 04:50,GIF,fitness,positive,75
14966,79818849-98f9-4b6b-9be8-4ed4c1ad59a5,super love,23-01-2021 10:07,GIF,fitness,positive,75
14965,45630f5a-78c1-46a1-bdc7-79cd11bb3c13,super love,08-11-2020 09:56,photo,travel,positive,75
14964,bb157107-088c-45aa-8d16-5c093a7471c6,super love,17-09-2020 22:01,photo,culture,positive,75
14963,9c6b0084-60ba-4e88-a0c7-ba0f61ec2c11,super love,29-05-2021 10:56,audio,cooking,positive,75
14962,9c6b0084-60ba-4e88-a0c7-ba0f61ec2c11,super love,04-04-2021 16:15,audio,cooking,positive,75
14961,9c6b0084-60ba-4e88-a0c7-ba0f61ec2c11,super love,05-09-2020 13:48,audio,cooking,positive,75
14960,ec6c41c9-509e-43ff-83bb-0e5202b8e62a,super love,17-04-2021 00:29,audio,education,positive,75
14959,ec6c41c9-509e-43ff-83bb-0e5202b8e62a,super love,12-09-2020 19:59,audio,education,positive,75
14957,e0cb0394-c5b2-447a-a9f4-88604a3ec283,super love,28-10-2020 11:19,audio,public speaking,positive,75
14969,475541da-3402-4d0e-9df5-0da198f8fc9c,super love,14-02-2021 21:56,video,culture,positive,75
14956,e0cb0394-c5b2-447a-a9f4-88604a3ec283,super love,16-08-2020 14:04,audio,public speaking,positive,75
14955,02664d35-87cf-46a6-a80b-78fbc9ac8b2f,super love,03-07-2020 11:21,GIF,science,positive,75
14954,02664d35-87cf-46a6-a80b-78fbc9ac8b2f,super love,07-11-2020 12:53,GIF,science,positive,75
14953,bb6c0257-5d4d-4bb8-be58-4bd7ebd9c337,super love,18-10-2020 16:27,video,animals,positive,75
14952,088e2e43-61a8-475f-a3e6-061f626b0f16,super love,05-07-2020 17:53,photo,veganism,positive,75
14951,088e2e43-61a8-475f-a3e6-061f626b0f16,super love,10-04-2021 18:12,photo,veganism,positive,75
14950,088e2e43-61a8-475f-a3e6-061f626b0f16,super love,05-03-2021 09:07,photo,veganism,positive,75
14949,088e2e43-61a8-475f-a3e6-061f626b0f16,super love,21-04-2021 23:35,photo,veganism,positive,75
14948,088e2e43-61a8-475f-a3e6-061f626b0f16,super love,09-09-2020 17:25,photo,veganism,positive,75
14968,475541da-3402-4d0e-9df5-0da198f8fc9c,super love,02-05-2021 10:01,video,culture,positive,75
14970,475541da-3402-4d0e-9df5-0da198f8fc9c,super love,16-01-2021 18:20,video,culture,positive,75
14900,d0c1d7f4-7735-49a9-ab6b-2cdb2338a609,super love,01-06-2021 06:29,GIF,travel,positive,75
14982,c582f515-4d90-4ae6-9ab7-059fdbd7956c,super love,09-11-2020 02:45,audio,technology,positive,75
14991,25290b06-ca05-43eb-8e54-e345a41ddba7,super love,01-12-2020 05:49,photo,education,positive,75
14990,25290b06-ca05-43eb-8e54-e345a41ddba7,super love,13-09-2020 09:55,photo,education,positive,75
14989,2297a93f-370d-47e7-8df3-3d464b3a0c0a,super love,31-05-2021 06:39,video,healthy eating,positive,75
14988,1934a201-0590-41af-bf40-5ddd6254d744,super love,21-09-2020 19:24,photo,education,positive,75
14987,1934a201-0590-41af-bf40-5ddd6254d744,super love,31-10-2020 09:47,photo,education,positive,75
14986,1934a201-0590-41af-bf40-5ddd6254d744,super love,30-01-2021 18:27,photo,education,positive,75
14985,9c066976-30e0-405e-9973-5c4342271a70,super love,23-08-2020 01:01,audio,tennis,positive,75
14984,e6c8f317-c8a9-4b1d-941a-4cd5420a138b,super love,11-09-2020 18:07,GIF,science,positive,75
14983,6082eb46-c239-40f5-bfcd-fb72b823ee71,super love,03-08-2020 23:51,video,healthy eating,positive,75
14981,c582f515-4d90-4ae6-9ab7-059fdbd7956c,super love,21-05-2021 05:26,audio,technology,positive,75
14971,dc1d4628-4edc-47c2-8da7-0b3d16ef5ddf,super love,15-12-2020 03:29,video,technology,positive,75
14980,8ec8db61-8bea-440b-88ee-f1f593eb4a7f,super love,27-01-2021 18:27,photo,education,positive,75
